scenarioMove,league,date,game,actual,preLine,marketLine,draftDelta,side,bucket,hitRate,empiricalEv,decision,reason,resultSide,correct,profit
0,LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,23,29.5,29.5,-0.32,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-15,HANJIN BRION vs DN SOOPers,29,28.5,28.5,0.19,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-15,DN SOOPers vs HANJIN BRION,22,28.5,28.5,0.97,over,bom,0.642,0.1556,over,edge draft valido,under,false,-1
0,LCK,2026-05-16,Gen.G vs T1,33,28.5,28.5,-0.87,under,bom,0.642,0.1556,under,edge draft valido,over,false,-1
0,LCK,2026-05-16,T1 vs Gen.G,48,29.5,29.5,0.17,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-16,T1 vs Gen.G,46,30.5,30.5,0.35,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-16,BNK FearX vs Nongshim RedForce,34,31.5,31.5,-1.88,under,muito forte,0.652,0.1736,under,edge draft valido,over,false,-1
0,LCK,2026-05-16,BNK FearX vs Nongshim RedForce,26,31.5,31.5,-0.81,under,bom,0.642,0.1556,under,edge draft valido,under,true,0.8
0,LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,38,30.5,30.5,-0.23,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,30,32.5,32.5,-0.28,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,25,32.5,32.5,-1,under,bom,0.642,0.1556,under,edge draft valido,under,true,0.8
0,LCK,2026-05-17,HANJIN BRION vs Kiwoom DRX,38,31.5,31.5,-0.81,under,bom,0.642,0.1556,under,edge draft valido,over,false,-1
0,LCK,2026-05-17,HANJIN BRION vs Kiwoom DRX,17,32.5,32.5,-0.76,under,bom,0.642,0.1556,under,edge draft valido,under,true,0.8
0,LCK,2026-05-17,Kiwoom DRX vs HANJIN BRION,35,31.5,31.5,-0.37,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-20,T1 vs Kiwoom DRX,29,33.5,33.5,-1.4,under,forte,0.648,0.1664,under,edge draft valido,under,true,0.8
0,LCK,2026-05-20,T1 vs Kiwoom DRX,34,32.5,32.5,-0.36,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-20,Kiwoom DRX vs T1,31,33.5,33.5,-0.86,under,bom,0.642,0.1556,under,edge draft valido,under,true,0.8
0,LCK,2026-05-20,Nongshim RedForce vs KT Rolster,25,32.5,32.5,-1.64,under,muito forte,0.652,0.1736,under,edge draft valido,under,true,0.8
0,LCK,2026-05-20,KT Rolster vs Nongshim RedForce,30,31.5,31.5,-1.15,under,medio,0.573,0.0314,under,edge draft valido,under,true,0.8
0,LCK,2026-05-20,KT Rolster vs Nongshim RedForce,33,31.5,31.5,-0.99,under,bom,0.642,0.1556,under,edge draft valido,over,false,-1
0,LCK,2026-05-21,BNK FearX vs Hanwha Life Esports,44,30.5,30.5,-0.73,under,leve,0.564,0.0152,pass,EV historico baixo,over,,0
0,LCK,2026-05-21,Hanwha Life Esports vs BNK FearX,21,31.5,31.5,-2.07,under,muito forte,0.652,0.1736,under,edge draft valido,under,true,0.8
0,LCK,2026-05-21,Dplus KIA vs HANJIN BRION,33,28.5,28.5,-0.67,under,leve,0.564,0.0152,pass,EV historico baixo,over,,0
0,LCK,2026-05-21,HANJIN BRION vs Dplus KIA,18,29.5,29.5,-0.15,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-21,HANJIN BRION vs Dplus KIA,20,28.5,28.5,-0.45,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-22,DN SOOPers vs Kiwoom DRX,22,28.5,28.5,-0.88,under,bom,0.642,0.1556,under,edge draft valido,under,true,0.8
0,LCK,2026-05-22,Kiwoom DRX vs DN SOOPers,28,28.5,28.5,0.27,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-22,KT Rolster vs Gen.G,17,29.5,29.5,-0.56,under,fraco,0.518,-0.0676,pass,delta draft baixo,under,,0
0,LCK,2026-05-22,KT Rolster vs Gen.G,28,28.5,28.5,0.4,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-23,Dplus KIA vs BNK FearX,16,27.5,27.5,-1.18,under,medio,0.573,0.0314,under,edge draft valido,under,true,0.8
0,LCK,2026-05-23,BNK FearX vs Dplus KIA,37,25.5,25.5,-0.16,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-23,Dplus KIA vs BNK FearX,24,27.5,27.5,-0.26,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-23,Hanwha Life Esports vs Nongshim RedForce,43,28.5,28.5,-0.41,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-23,Nongshim RedForce vs Hanwha Life Esports,54,30.5,30.5,0.33,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCK,2026-05-23,Hanwha Life Esports vs Nongshim RedForce,36,32.5,32.5,-2.07,under,muito forte,0.652,0.1736,under,edge draft valido,over,false,-1
0,LCK,2026-05-24,Gen.G vs DN SOOPers,25,29.5,29.5,-1.07,under,medio,0.573,0.0314,under,edge draft valido,under,true,0.8
0,LCK,2026-05-24,Gen.G vs DN SOOPers,20,28.5,28.5,-1.16,under,medio,0.573,0.0314,under,edge draft valido,under,true,0.8
0,LCK,2026-05-24,T1 vs HANJIN BRION,18,29.5,29.5,-0.27,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCK,2026-05-24,T1 vs HANJIN BRION,29,27.5,27.5,-0.89,under,bom,0.642,0.1556,under,edge draft valido,over,false,-1
0,LCKCL,2026-01-27,DN SOOPers Challengers vs KRX Challengers,46,31.5,31.5,0.1,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCKCL,2026-01-27,DN SOOPers Challengers vs KRX Challengers,42,32.5,32.5,0.29,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCKCL,2026-01-27,KT Rolster Challengers vs BNK FEARX Youth,32,33.5,33.5,-0.21,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-01-27,KT Rolster Challengers vs BNK FEARX Youth,31,32.5,32.5,-0.17,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-01-27,KT Rolster Challengers vs BNK FEARX Youth,24,32.5,32.5,-0.26,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-01-29,Gen.G Global Academy vs HANJIN BRION Challengers,29,32.5,32.5,-0.79,under,bom,0.642,0.1556,under,edge draft valido,under,true,0.8
0,LCKCL,2026-01-29,HANJIN BRION Challengers vs Gen.G Global Academy,29,31.5,31.5,0.43,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-01-29,HANJIN BRION Challengers vs Gen.G Global Academy,28,31.5,31.5,0.4,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-02-02,Hanwha Life Esports Challengers vs Dplus KIA Challengers,32,31.5,31.5,0.18,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCKCL,2026-02-02,Hanwha Life Esports Challengers vs Dplus KIA Challengers,19,31.5,31.5,-0.32,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-02-02,BNK FEARX Youth vs KRX Challengers,40,30.5,30.5,0.21,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCKCL,2026-02-02,BNK FEARX Youth vs KRX Challengers,14,29.5,29.5,0.53,over,fraco,0.518,-0.0676,pass,delta draft baixo,under,,0
0,LCKCL,2026-02-02,KRX Challengers vs BNK FEARX Youth,37,28.5,28.5,0.47,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCKCL,2026-02-03,Hanwha Life Esports Challengers vs T1 Esports Academy,37,29.5,29.5,0.85,over,bom,0.642,0.1556,over,edge draft valido,over,true,0.8
0,LCKCL,2026-02-03,Hanwha Life Esports Challengers vs T1 Esports Academy,27,30.5,30.5,-0.29,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-02-03,T1 Esports Academy vs Hanwha Life Esports Challengers,31,30.5,30.5,0.77,over,bom,0.642,0.1556,over,edge draft valido,over,true,0.8
0,LCKCL,2026-02-03,KRX Challengers vs HANJIN BRION Challengers,26,29.5,29.5,0.61,over,leve,0.564,0.0152,pass,EV historico baixo,under,,0
0,LCKCL,2026-02-03,KRX Challengers vs HANJIN BRION Challengers,20,28.5,28.5,0.35,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-02-04,T1 Esports Academy vs HANJIN BRION Challengers,39,27.5,27.5,0.84,over,bom,0.642,0.1556,over,edge draft valido,over,true,0.8
0,LCKCL,2026-02-04,T1 Esports Academy vs HANJIN BRION Challengers,27,29.5,29.5,0.59,over,fraco,0.518,-0.0676,pass,delta draft baixo,under,,0
0,LCKCL,2026-02-04,T1 Esports Academy vs HANJIN BRION Challengers,37,28.5,28.5,-0.05,under,sem faixa,,,pass,delta draft baixo,over,,0
0,LCKCL,2026-02-09,Hanwha Life Esports Challengers vs Nongshim Esports Academy,10,28.5,28.5,0.21,over,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-02-09,Hanwha Life Esports Challengers vs Nongshim Esports Academy,28,26.5,26.5,0.4,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCKCL,2026-02-09,Hanwha Life Esports Challengers vs Nongshim Esports Academy,28,26.5,26.5,0.7,over,leve,0.564,0.0152,pass,EV historico baixo,over,,0
0,LCKCL,2026-02-09,Hanwha Life Esports Challengers vs Nongshim Esports Academy,33,26.5,26.5,0.45,over,sem faixa,,,pass,delta draft baixo,over,,0
0,LCKCL,2026-02-09,Hanwha Life Esports Challengers vs Nongshim Esports Academy,22,27.5,27.5,-0.17,under,sem faixa,,,pass,delta draft baixo,under,,0
0,LCKCL,2026-02-09,T1 Esports Academy vs KRX Challengers,26,28.5,28.5,0.69,over,leve,0.564,0.0152,pass,EV historico baixo,under,,0
