league,date,game,actual,prePrediction,preLine,postPrediction,postLine,delta,changedLine,lean,actualSideVsPreLine,correct,draftConfidence,lineAdjustment,signalThreshold,signalReason,topPickEffects
LCK,2026-05-22,KT Rolster vs Gen.G,17,27.83,29.5,28.03,29.5,0.2,false,neutral,under,,0.864,1.35,0.5,delta fraco,TOP Sion +1.43 | SUP Nami -0.91 | JUNGLE Naafiri +0.91 | MID Anivia +0.81 | JUNGLE Pantheon -0.5
LCK,2026-05-22,KT Rolster vs Gen.G,28,27.03,28.5,27.47,28.5,0.44,false,neutral,under,,0.836,1.13,0.5,delta fraco,SUP Nautilus +1.87 | JUNGLE Nocturne +1.52 | MID Cassiopeia +1.11 | MID Galio -0.98 | SUP Seraphine -0.77
LCK,2026-05-23,Dplus KIA vs BNK FearX,16,25.46,26.5,25.47,26.5,0.01,false,neutral,under,,0.872,1.35,0.5,delta fraco,TOP Sion +1.56 | ADC Lucian -1.09 | ADC Caitlyn +1.06 | MID Orianna -0.94 | SUP Milio -0.73
LCK,2026-05-23,BNK FearX vs Dplus KIA,37,23.96,25.5,24.72,26.5,0.76,true,over,over,true,0.87,1.57,0.5,edge valido,JUNGLE Lee Sin +2.8 | TOP Rumble +2.38 | MID Ahri +0.89 | ADC Ezreal +0.76 | TOP Ambessa +0.69
LCK,2026-05-23,Dplus KIA vs BNK FearX,24,25.29,26.5,26,27.5,0.72,true,over,under,false,0.819,1.57,0.5,edge valido,SUP Poppy +1.73 | SUP Alistar +1.45 | ADC Miss Fortune +1.31 | TOP Jayce +0.62 | JUNGLE Skarner -0.61
LCK,2026-05-23,Hanwha Life Esports vs Nongshim RedForce,43,26.92,28.5,27.71,29.5,0.79,true,over,over,true,0.865,1.35,0.5,edge valido,TOP Rumble +2.36 | MID Akali +1.34 | ADC Lucian -1.19 | JUNGLE Wukong +1.1 | MID Annie +1.08
LCK,2026-05-23,Nongshim RedForce vs Hanwha Life Esports,54,29.25,29.5,29.74,30.5,0.49,true,neutral,over,,0.852,0.68,0.5,delta fraco,JUNGLE Vi +1.67 | SUP Pyke +1.32 | SUP Nautilus +1.31 | ADC Ziggs +1.23 | ADC Ashe -1.04
LCK,2026-05-23,Hanwha Life Esports vs Nongshim RedForce,36,32.6,31.5,31.3,30.5,-1.3,true,neutral,over,,0.878,-0.68,99,under bloqueado,SUP Nami -2.2 | TOP Gnar -2.04 | MID Ryze -1.94 | JUNGLE Lee Sin +1.9 | JUNGLE Jarvan IV -1.5
LCK,2026-05-24,Gen.G vs DN SOOPers,25,29.85,29.5,28.81,28.5,-1.05,true,neutral,under,,0.866,-0.68,99,under bloqueado,SUP Seraphine -2.24 | MID Ryze -2.05 | JUNGLE Skarner -1.84 | ADC Ashe -1.81 | JUNGLE Lee Sin +1.76
LCK,2026-05-24,Gen.G vs DN SOOPers,20,28.23,28.5,27.57,27.5,-0.65,true,neutral,under,,0.815,-0.23,99,under bloqueado,ADC Lucian -2.34 | SUP Nami -1.97 | SUP Milio -1.95 | MID Akali +0.51 | JUNGLE Maokai -0.42
LCK,2026-05-24,T1 vs HANJIN BRION,18,29.23,29.5,29.62,29.5,0.39,false,neutral,under,,0.837,0,0.5,delta fraco,JUNGLE Lee Sin +2.19 | SUP Pyke +2.05 | TOP Rumble +1.55 | MID Ryze -1.4 | SUP Lux +1.2
LCK,2026-05-24,T1 vs HANJIN BRION,29,27.08,27.5,26.36,27.5,-0.72,false,neutral,over,,0.89,0.68,99,under bloqueado,ADC Lucian -1.66 | SUP Milio -1.31 | SUP Seraphine -1.11 | JUNGLE Xin Zhao -0.79 | ADC Ashe -0.71
LPL,2026-05-08,JD Gaming vs Bilibili Gaming,35,25.33,25.5,26.42,26.5,1.09,true,over,over,true,0.852,0.23,1,edge valido,ADC Miss Fortune +2.8 | JUNGLE Pantheon +1.94 | TOP Rumble +1.73 | MID Viktor +1.37 | TOP KSante -1.32
LPL,2026-05-09,Invictus Gaming vs Ninjas in Pyjamas,24,25.29,25.5,26.93,27.5,1.64,true,over,under,false,0.88,0.68,1,edge valido,MID Orianna +2.8 | ADC Jhin +2.8 | MID Akali +2.37 | JUNGLE Vi +1.04 | TOP Sion +0.94
LPL,2026-05-09,Ninjas in Pyjamas vs Invictus Gaming,27,24.81,25.5,25.88,26.5,1.07,true,over,over,true,0.895,0.68,1,edge valido,ADC Ashe +2.8 | SUP Seraphine +2.67 | TOP Gnar +1.16 | JUNGLE Xin Zhao +1.13 | MID Ryze +0.83
LPL,2026-05-09,Team WE vs Top Esports,32,25.43,26.5,26.87,27.5,1.44,true,over,over,true,0.898,0.68,1,edge valido,ADC Jhin +2.8 | TOP Jayce +1.63 | JUNGLE Lee Sin +1.51 | JUNGLE Jarvan IV +1.42 | TOP KSante -1.36
LPL,2026-05-09,Team WE vs Top Esports,21,25.82,26.5,25.73,26.5,-0.09,false,neutral,under,,0.896,0.68,99,under bloqueado,SUP Milio -2.8 | ADC Lucian -2.12 | JUNGLE Pantheon +1.54 | TOP Aatrox +1.11 | TOP Ambessa +0.89
LPL,2026-05-10,Ninjas in Pyjamas vs Weibo Gaming,33,24.95,25.5,24.79,25.5,-0.15,false,neutral,over,,0.867,0.68,99,under bloqueado,TOP Varus +2.8 | SUP Milio -2.74 | ADC Lucian -1.96 | MID Azir +1.52 | JUNGLE Trundle -1.43
LPL,2026-05-10,Weibo Gaming vs Ninjas in Pyjamas,33,25.73,26.5,26.49,27.5,0.76,true,neutral,over,,0.897,0.68,1,delta fraco,ADC Jhin +2.8 | MID Viktor +1.21 | JUNGLE Vi +0.91 | TOP Sion +0.82 | SUP Bard +0.82
LPL,2026-05-10,JD Gaming vs Anyone s Legend,29,25.48,26.5,25.92,26.5,0.44,false,neutral,over,,0.88,0.68,1,delta fraco,SUP Nautilus +1.68 | TOP Rumble +1.13 | ADC Varus +0.81 | JUNGLE Vi +0.72 | JUNGLE Naafiri -0.63
LPL,2026-05-10,Anyone s Legend vs JD Gaming,16,25.98,26.5,26.62,27.5,0.64,true,neutral,under,,0.89,0.45,1,delta fraco,ADC Ashe +2.8 | SUP Milio -2.8 | MID Orianna +2.55 | ADC Lucian -2.33 | SUP Seraphine +2.11
LPL,2026-05-10,JD Gaming vs Anyone s Legend,20,24.99,25.5,26.13,26.5,1.15,true,over,under,false,0.832,0.45,1,edge valido,ADC Jhin +2.8 | MID Azir +1.5 | ADC Caitlyn -1.14 | TOP Gnar +1.13 | SUP Elise +1.08
LPL,2026-05-12,Ninjas in Pyjamas vs Top Esports,20,26.31,25.5,26.65,26.5,0.33,true,neutral,under,,0.89,-0.45,1,delta fraco,SUP Milio -2.6 | JUNGLE Lee Sin +1.83 | ADC Lucian -1.76 | TOP Gnar +1.31 | ADC Corki +1.14
LPL,2026-05-12,Ninjas in Pyjamas vs Top Esports,24,25.64,24.5,27.14,26.5,1.5,true,over,under,false,0.899,-0.68,1,edge valido,MID Orianna +2.8 | MID Azir +1.98 | TOP Vayne +1.63 | JUNGLE Xin Zhao +1.51 | SUP Neeko +1.51
LPL,2026-05-12,Top Esports vs Ninjas in Pyjamas,31,26.02,24.5,27.5,26.5,1.48,true,over,over,true,0.865,-1.13,1,edge valido,ADC Jhin +2.8 | SUP Nautilus +2.67 | SUP Rell +2.34 | TOP Jayce +2.34 | MID Ryze +1.47
LPL,2026-05-12,Bilibili Gaming vs Invictus Gaming,32,26.01,25.5,26.05,25.5,0.04,false,neutral,over,,0.892,-0.68,1,delta fraco,SUP Milio -2.58 | JUNGLE Pantheon +2.11 | JUNGLE Jarvan IV +1.89 | ADC Lucian -1.73 | TOP Gnar +1.33
LPL,2026-05-12,Invictus Gaming vs Bilibili Gaming,42,27,26.5,28.69,27.5,1.69,true,over,over,true,0.906,-0.9,1,edge valido,MID Orianna +2.59 | MID Viktor +1.65 | SUP Alistar +1.46 | JUNGLE Vi +1.37 | TOP Sion +1.27
LPL,2026-05-12,Bilibili Gaming vs Invictus Gaming,31,29.26,28.5,29.56,28.5,0.3,false,neutral,over,,0.87,-1.13,1,delta fraco,SUP Nautilus +1.76 | TOP Jayce +1.31 | TOP Yorick -1.08 | JUNGLE Lee Sin +0.99 | JUNGLE Wukong -0.81
LPL,2026-05-13,EDward Gaming vs Oh My God,18,26.38,25.5,26.18,25.5,-0.2,false,neutral,under,,0.9,-1.13,99,under bloqueado,TOP KSante -1.64 | MID Twisted Fate -1.63 | TOP Jayce +1.22 | JUNGLE Pantheon +1.07 | ADC Senna -0.76
LPL,2026-05-13,EDward Gaming vs Oh My God,23,25.42,24.5,26.01,24.5,0.59,false,neutral,under,,0.9,-1.13,1,delta fraco,JUNGLE Jarvan IV +1.28 | JUNGLE Vi +1.17 | TOP Gnar +0.73 | MID Ryze +0.67 | SUP Pyke -0.66
LPL,2026-05-13,Oh My God vs EDward Gaming,22,25,23.5,26.71,25.5,1.7,true,over,under,false,0.882,-1.13,1,edge valido,ADC Ashe +2.8 | ADC Jhin +2.8 | SUP Seraphine +2.41 | SUP Nautilus +2.14 | TOP Rumble +1.58
LPL,2026-05-13,Anyone s Legend vs Team WE,14,25,24.5,26.02,25.5,1.01,true,over,under,false,0.88,-0.68,1,edge valido,SUP Seraphine +2.51 | MID Akali +2.37 | TOP Rumble +1.69 | SUP Bard +1.27 | JUNGLE Trundle -1.06
LPL,2026-05-13,Anyone s Legend vs Team WE,27,23.61,23.5,24.73,24.5,1.12,true,over,over,true,0.895,-0.23,1,edge valido,ADC Miss Fortune +2.8 | SUP Nautilus +2.66 | SUP Milio -2.13 | JUNGLE Vi +1.98 | TOP Sion +1.95
LPL,2026-05-13,Anyone s Legend vs Team WE,40,23.39,23.5,24.75,24.5,1.36,true,over,over,true,0.866,-0.23,1,edge valido,MID Viktor +2.31 | JUNGLE Pantheon +2.18 | TOP Jayce +2.18 | MID Aurora +1.58 | ADC Corki +1.54
LPL,2026-05-14,LNG Esports vs LGD Gaming,21,25.21,24.5,26.05,25.5,0.83,true,neutral,under,,0.884,-0.68,1,delta fraco,ADC Miss Fortune +2.8 | SUP Nautilus +1.98 | JUNGLE Trundle -1.58 | TOP Gnar +0.86 | JUNGLE Skarner +0.79
