league,date,game,actual,preLine,postLine,draftDelta,draftSignal,deviation,absDeviation,isOverLine,draftConfidence,topPickEffects
LPL,2026-05-12,Bilibili Gaming vs Invictus Gaming,31,28.5,28.5,0.3,NEUTRO,2.5,2.5,true,0.87,SUP Nautilus +1.76 | TOP Jayce +1.31 | TOP Yorick -1.08 | JUNGLE Lee Sin +0.99 | JUNGLE Wukong -0.81
LPL,2026-05-13,EDward Gaming vs Oh My God,18,25.5,25.5,-0.2,NEUTRO,-7.5,7.5,false,0.9,TOP KSante -1.64 | MID Twisted Fate -1.63 | TOP Jayce +1.22 | JUNGLE Pantheon +1.07 | ADC Senna -0.76
LPL,2026-05-13,EDward Gaming vs Oh My God,23,24.5,24.5,0.59,NEUTRO,-1.5,1.5,false,0.9,JUNGLE Jarvan IV +1.28 | JUNGLE Vi +1.17 | TOP Gnar +0.73 | MID Ryze +0.67 | SUP Pyke -0.66
LPL,2026-05-13,Oh My God vs EDward Gaming,22,23.5,25.5,1.7,OVER,-1.5,1.5,false,0.882,ADC Ashe +2.8 | ADC Jhin +2.8 | SUP Seraphine +2.41 | SUP Nautilus +2.14 | TOP Rumble +1.58
LPL,2026-05-13,Anyone s Legend vs Team WE,14,24.5,25.5,1.01,OVER,-10.5,10.5,false,0.88,SUP Seraphine +2.51 | MID Akali +2.37 | TOP Rumble +1.69 | SUP Bard +1.27 | JUNGLE Trundle -1.06
LPL,2026-05-13,Anyone s Legend vs Team WE,27,23.5,24.5,1.12,OVER,3.5,3.5,true,0.895,ADC Miss Fortune +2.8 | SUP Nautilus +2.66 | SUP Milio -2.13 | JUNGLE Vi +1.98 | TOP Sion +1.95
LPL,2026-05-13,Anyone s Legend vs Team WE,40,23.5,24.5,1.36,OVER,16.5,16.5,true,0.866,MID Viktor +2.31 | JUNGLE Pantheon +2.18 | TOP Jayce +2.18 | MID Aurora +1.58 | ADC Corki +1.54
LPL,2026-05-14,LNG Esports vs LGD Gaming,21,24.5,25.5,0.83,OVER,-3.5,3.5,false,0.884,ADC Miss Fortune +2.8 | SUP Nautilus +1.98 | JUNGLE Trundle -1.58 | TOP Gnar +0.86 | JUNGLE Skarner +0.79
LPL,2026-05-14,LNG Esports vs LGD Gaming,32,23.5,23.5,-0.55,NEUTRO,8.5,8.5,true,0.886,SUP Milio -2.5 | ADC Lucian -1.73 | TOP Rumble +1.53 | MID Anivia -0.86 | ADC Yunara +0.53
LPL,2026-05-14,JD Gaming vs Weibo Gaming,24,25.5,26.5,1.26,OVER,-1.5,1.5,false,0.902,ADC Jhin +2.8 | TOP Rumble +1.36 | JUNGLE Vi +1.29 | TOP Sion +1.19 | ADC Corki +1.05
LPL,2026-05-14,Weibo Gaming vs JD Gaming,19,25.5,25.5,0.57,NEUTRO,-6.5,6.5,false,0.902,ADC Ashe +2.8 | SUP Milio -2.42 | SUP Seraphine +2.24 | JUNGLE Pantheon +1.82 | ADC Lucian -1.7
LPL,2026-05-14,JD Gaming vs Weibo Gaming,17,24.5,25.5,1.12,OVER,-7.5,7.5,false,0.876,MID Taliyah +1.74 | JUNGLE Jayce +1.64 | SUP Bard +1.36 | SUP Neeko +1.3 | TOP Zaahen +1.22
LPL,2026-05-15,Ultra Prime vs Oh My God,26,23.5,26.5,2.22,OVER,2.5,2.5,true,0.92,JUNGLE Jarvan IV +2.28 | TOP Rumble +2.18 | JUNGLE Vi +2.12 | ADC Corki +1.89 | MID Taliyah +1.77
LPL,2026-05-15,Ultra Prime vs Oh My God,24,23.5,24.5,0.77,OVER,0.5,0.5,true,0.896,JUNGLE Pantheon +2.44 | MID Akali +2.31 | SUP Milio -1.91 | JUNGLE Xin Zhao +1.73 | SUP Bard +1.58
LPL,2026-05-15,Top Esports vs Bilibili Gaming,50,25.5,27.5,2.1,OVER,24.5,24.5,true,0.882,ADC Jhin +2.8 | TOP Jayce +2.56 | JUNGLE Jarvan IV +2.26 | JUNGLE Vi +2.1 | SUP Rakan +1.64
LPL,2026-05-15,Bilibili Gaming vs Top Esports,32,27.5,27.5,-0.39,NEUTRO,4.5,4.5,true,0.911,SUP Milio -2.73 | ADC Lucian -2.09 | JUNGLE Pantheon +1.33 | JUNGLE Lee Sin +0.81 | MID Anivia -0.68
